"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
1,"Hepta","silhouette","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.337886318,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.444421781,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.572004422,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","gmm",7,0.701701220874264,1.07618340765214,1,0.159073678,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.383976477,"Hepta-silhouette-seed1"
2,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,70.354270317,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","OCT",7,0.372988625145858,0.0274417123112856,0.490513354367595,0.065242169,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.476842556,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.582617928,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","gmm",7,0.571852500228569,0.106561111068238,0.818970155811118,0.162853262,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.404729961,"Hepta-silhouette-seed2"
3,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,73.653530047,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.14562496,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.642912921,"Hepta-silhouette-seed3"
